Temp,Humidity,dB,Hz,Hive
13.5,99.9,38.75,163.06,Treatment 1
15.24,99.9,38.76,163.35,Treatment 1
18.41,99.9,38.76,161.63,Treatment 1
21.7,97.86,38.72,194.34,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
13.56,88.54,38.86,157.13,Treatment 1
13.46,96.78,38.88,155.08,Treatment 1
13.53,99.9,38.92,164.03,Treatment 1
13.5,99.9,38.95,161.48,Treatment 1
14.13,99.9,38.96,160.31,Treatment 1
14.7,99.9,38.76,164.33,Treatment 1
14.71,99.9,38.85,173.47,Treatment 1
14.64,99.9,38.94,165.72,Treatment 1
14.29,99.9,38.88,167.47,Treatment 1
13.8,99.9,39.03,171.3,Treatment 1
14.1,99.9,39.04,162.43,Treatment 1
15.43,99.9,38.86,154.4,Treatment 1
18.74,90.36,38.93,167.2,Treatment 1
22.18,85.45,38.88,158.3,Treatment 1
25.56,81.84,38.83,169.81,Treatment 1
28.39,76.93,38.89,159.49,Treatment 1
29.94,71.45,38.79,162.39,Treatment 1
30.55,65.87,38.87,162.93,Treatment 1
29.5,61.22,38.84,158.12,Treatment 1
27.97,59.4,38.85,159.79,Treatment 1
25.65,61.43,38.81,159.07,Treatment 1
21.69,66.54,38.77,155.97,Treatment 1
18.91,70.82,38.92,164.13,Treatment 1
18.07,72.82,38.85,160.04,Treatment 1
17.37,75.34,38.81,162.94,Treatment 1
16.93,77,38.83,157.46,Treatment 1
15.54,81.84,38.92,158.78,Treatment 1
15.23,86.95,38.91,160.07,Treatment 1
15.01,91.57,38.84,184.28,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
23.04,79.06,38.74,155.95,Treatment 1
23.51,78.45,38.79,162.24,Treatment 1
23.98,77.5,38.94,165.62,Treatment 1
24.58,77.59,38.91,171.64,Treatment 1
25.13,77.4,38.77,163.23,Treatment 1
26.87,73.14,38.89,163.23,Treatment 1
28.07,67.32,38.86,157.48,Treatment 1
28.18,64.57,38.89,170.86,Treatment 1
27.79,59.2,38.98,169.83,Treatment 1
26.01,60.34,38.81,152.53,Treatment 1
22.92,64.42,38.88,157.67,Treatment 1
17.01,69.44,38.77,157.6,Treatment 1
13.6,83.17,38.84,151.98,Treatment 1
13.47,93.62,38.92,152.24,Treatment 1
13.65,99.9,38.88,160.6,Treatment 1
14.13,99.9,38.83,164.44,Treatment 1
13.64,99.9,38.83,155.32,Treatment 1
13.83,99.9,38.82,155.1,Treatment 1
13.09,99.9,38.87,156.72,Treatment 1
13.03,99.9,38.88,163.71,Treatment 1
12.58,99.9,38.83,168.9,Treatment 1
13.07,99.9,38.77,156.89,Treatment 1
13.28,99.9,38.84,168.35,Treatment 1
13.21,99.9,38.75,155.47,Treatment 1
13.55,99.9,38.86,166.24,Treatment 1
14.71,99.9,38.84,166.98,Treatment 1
16.05,99.89,38.86,160.52,Treatment 1
17.5,94.44,38.78,154.48,Treatment 1
19.52,89.75,38.77,154.02,Treatment 1
20.63,86.27,38.89,162.17,Treatment 1
19.27,86.46,38.85,152.58,Treatment 1
20.35,85.04,38.76,152.07,Treatment 1
21.95,80.97,38.85,151.74,Treatment 1
22.51,77.66,38.83,159.5,Treatment 1
19.45,77.93,38.69,154.44,Treatment 1
14.42,85.64,38.77,163.8,Treatment 1
11.77,99.58,38.81,155.23,Treatment 1
11.12,99.9,38.68,147.43,Treatment 1
10.68,99.9,38.81,157.99,Treatment 1
10.15,99.9,38.75,154.32,Treatment 1
9.86,99.9,38.7,151.54,Treatment 1
9.58,99.9,38.74,155.13,Treatment 1
9.34,99.9,38.74,160.51,Treatment 1
9.05,99.9,38.82,159.45,Treatment 1
8.97,99.9,38.72,161.36,Treatment 1
8.79,99.9,38.83,155.82,Treatment 1
8.19,99.9,38.8,154.65,Treatment 1
7.63,99.9,38.86,161.2,Treatment 1
7.68,99.9,38.67,151.16,Treatment 1
9.04,99.9,38.7,141.68,Treatment 1
13,99.9,38.78,154.91,Treatment 1
17.93,99.9,38.81,149.82,Treatment 1
21.21,99.9,38.74,160.35,Treatment 1
22.45,98.11,38.7,142.86,Treatment 1
24.12,91.35,38.75,158.36,Treatment 1
25.3,92.54,38.69,149.38,Treatment 1
25.68,92.6,38.71,145.3,Treatment 1
24.12,97.26,38.7,157.33,Treatment 1
21.54,93.94,38.74,152.29,Treatment 1
14.75,91.03,38.79,155.62,Treatment 1
11.31,99.87,38.83,152.27,Treatment 1
10.45,99.9,38.84,160.41,Treatment 1
10.19,99.9,38.77,158.87,Treatment 1
10.03,99.9,38.76,151.13,Treatment 1
9.96,99.9,38.75,159.73,Treatment 1
9.63,99.9,38.72,159.88,Treatment 1
9.32,99.9,38.75,150.94,Treatment 1
9.56,99.9,38.73,157.24,Treatment 1
9.46,99.9,38.79,154.52,Treatment 1
9.23,99.9,38.76,151.63,Treatment 1
8.98,99.9,38.8,150.22,Treatment 1
8.65,99.9,38.8,153.18,Treatment 1
8.96,99.9,38.68,140.56,Treatment 1
11.09,99.9,38.72,157.23,Treatment 1
15.55,99.9,38.72,161.56,Treatment 1
20.47,99.9,38.77,153.43,Treatment 1
24.27,99.9,38.76,152.5,Treatment 1
26.45,99.9,38.71,149.99,Treatment 1
27.92,98.2,38.79,153.29,Treatment 1
28.6,88.86,38.79,154,Treatment 1
28.3,83.54,38.8,149.84,Treatment 1
27.53,82.25,38.85,155.5,Treatment 1
24.98,74.1,38.81,152.34,Treatment 1
19.47,77.28,38.66,160.26,Treatment 1
15.74,81.99,38.71,160.38,Treatment 1
14.16,85.91,38.77,156.65,Treatment 1
13.66,88.61,38.67,143.87,Treatment 1
13.13,94.85,38.71,167.97,Treatment 1
13.6,99.73,38.78,152.58,Treatment 1
12.61,99.9,38.75,148.23,Treatment 1
12.6,99.9,38.71,143.96,Treatment 1
14.27,99.9,38.7,153.34,Treatment 1
15.51,98.86,38.77,154.39,Treatment 1
15.7,95.71,38.68,148.9,Treatment 1
15.35,98.52,38.8,157.28,Treatment 1
16.35,95.27,38.65,145.72,Treatment 1
17.11,93.6,38.67,147.33,Treatment 1
17.88,91.61,38.87,158.05,Treatment 1
18.56,89.69,38.87,157.92,Treatment 1
20.42,87.54,38.78,158.59,Treatment 1
21.51,85.51,38.77,147.38,Treatment 1
23.93,83.09,38.92,158.99,Treatment 1
23.94,81.44,38.79,169.27,Treatment 1
23.48,81.05,38.83,163.37,Treatment 1
22.32,81.73,38.79,161,Treatment 1
20.99,85.23,38.87,158.67,Treatment 1
20.55,86.19,38.76,164.48,Treatment 1
19.84,87.42,38.82,165.19,Treatment 1
19.47,87.87,38.85,162.05,Treatment 1
19.36,88.06,38.77,161.86,Treatment 1
19.4,88.53,38.83,163.02,Treatment 1
19.41,88.55,38.87,163.44,Treatment 1
19.45,89.17,38.78,167.47,Treatment 1
19.57,91.27,38.78,163.14,Treatment 1
19.65,90.65,38.91,160.06,Treatment 1
19.8,90.18,38.89,169.48,Treatment 1
19.94,90.02,38.97,156.48,Treatment 1
20,89.57,38.8,163.53,Treatment 1
20.12,89.65,38.93,164.23,Treatment 1
20.27,89.9,38.9,166.26,Treatment 1
20.24,90.66,38.89,164.91,Treatment 1
21.54,89.58,38.92,163.36,Treatment 1
22.45,87.24,38.83,156.39,Treatment 1
22.67,87.11,38.87,158.27,Treatment 1
24.48,84.05,38.89,150.61,Treatment 1
25.83,82.5,38.87,146.08,Treatment 1
27.93,79.23,38.8,160.37,Treatment 1
25.19,77.93,38.73,158.04,Treatment 1
19.41,81.04,38.72,150.91,Treatment 1
19.19,81.31,38.74,162.76,Treatment 1
19.09,81.97,38.7,148.6,Treatment 1
19.03,81.99,38.64,157.5,Treatment 1
18.63,82.73,38.64,155.56,Treatment 1
17.23,85.59,38.68,158.15,Treatment 1
16.28,91.56,38.86,160.49,Treatment 1
16.29,93.19,38.71,161.95,Treatment 1
16.34,93.38,38.67,159.33,Treatment 1
16.54,94.45,38.78,150.8,Treatment 1
16.8,95.23,38.6,159.22,Treatment 1
16.49,97.73,38.78,166.69,Treatment 1
16.31,99.88,38.72,163.16,Treatment 1
15.39,99.9,38.71,168.78,Treatment 1
14.58,99.9,38.74,163.97,Treatment 1
14.27,99.9,38.61,150.35,Treatment 1
13.92,99.9,38.9,168.92,Treatment 1
13.73,99.9,38.85,161.47,Treatment 1
13.63,99.9,38.77,165.06,Treatment 1
13.32,99.9,38.83,163.6,Treatment 1
13.79,99.9,38.79,159.93,Treatment 1
14.94,99.9,38.76,164.37,Treatment 1
16.02,98.94,38.69,158.01,Treatment 1
15.94,97.83,38.74,157.49,Treatment 1
15.92,98.71,38.73,156.84,Treatment 1
16,99.55,38.68,155.04,Treatment 1
15.9,99.67,38.7,154.97,Treatment 1
15.3,99.9,38.79,158.37,Treatment 1
14.46,99.9,38.83,163.65,Treatment 1
13.95,99.9,38.75,154.23,Treatment 1
13.67,99.9,38.74,152.7,Treatment 1
12.88,99.9,38.71,153,Treatment 1
10.79,99.9,38.68,159.21,Treatment 1
9.21,99.9,38.88,162.09,Treatment 1
8.23,99.9,38.95,158.55,Treatment 1
7.7,99.9,38.79,155.49,Treatment 1
7.05,99.9,38.85,160.07,Treatment 1
6.64,99.9,38.68,161.36,Treatment 1
6.24,99.9,38.75,154.33,Treatment 1
6,99.9,38.87,158.52,Treatment 1
6.2,99.9,38.75,162.14,Treatment 1
7.36,99.9,38.67,153.76,Treatment 1
11.01,99.9,38.73,150.85,Treatment 1
15.08,99.9,38.73,158.56,Treatment 1
18.6,99.9,38.84,154.71,Treatment 1
21.06,98.37,38.81,157.84,Treatment 1
23.9,94.16,38.74,156.37,Treatment 1
23.39,91.93,38.71,145.58,Treatment 1
22.29,86.45,38.69,157.79,Treatment 1
20.46,90.92,38.74,160.13,Treatment 1
16.83,98.17,38.72,166.93,Treatment 1
13.65,99.9,38.72,154.23,Treatment 1
12.01,99.9,38.78,158.05,Treatment 1
11.35,99.9,38.68,172.69,Treatment 1
10.96,99.9,38.71,163.58,Treatment 1
10.6,99.9,38.65,145.32,Treatment 1
10.13,99.9,38.68,160.49,Treatment 1
9.66,99.9,38.72,153.01,Treatment 1
9.2,99.9,38.73,167.32,Treatment 1
8.58,99.9,38.7,152.29,Treatment 1
7.93,99.9,38.7,158.91,Treatment 1
7.5,99.9,38.8,155.03,Treatment 1
7.19,99.9,38.68,159.69,Treatment 1
6.64,99.9,38.71,166.59,Treatment 1
6.5,99.9,38.72,158.3,Treatment 1
7.82,99.9,38.69,156.22,Treatment 1
11.36,99.9,38.69,156.71,Treatment 1
15.49,99.9,38.73,158.97,Treatment 1
17.96,99.9,38.66,150.3,Treatment 1
19.93,99.9,38.68,148.09,Treatment 1
19.21,99.9,38.72,157.02,Treatment 1
20.82,99.9,38.73,147.46,Treatment 1
20.22,99.9,38.77,160.01,Treatment 1
17.67,99.9,38.67,154.46,Treatment 1
14.31,99.9,38.75,156.7,Treatment 1
13.08,99.9,38.83,160.49,Treatment 1
11,99.9,38.67,161.08,Treatment 1
10.31,99.9,38.7,156.41,Treatment 1
9.67,99.9,38.68,152.55,Treatment 1
8.87,99.9,38.7,152.9,Treatment 1
8.45,99.9,38.7,159.18,Treatment 1
8.08,99.9,38.74,155.84,Treatment 1
7.35,99.9,38.73,161.16,Treatment 1
6.94,99.9,38.79,159.38,Treatment 1
6.42,99.9,38.71,155.24,Treatment 1
5.81,99.9,38.76,157.21,Treatment 1
5.56,99.9,38.66,149.91,Treatment 1
5.31,99.9,38.67,154.06,Treatment 1
5.23,99.9,38.74,161.98,Treatment 1
6.72,99.9,38.67,149.33,Treatment 1
10.06,99.9,38.71,156.84,Treatment 1
13.33,99.9,38.68,157,Treatment 1
16.98,99.9,38.7,160.04,Treatment 1
19.03,99.9,38.72,157.28,Treatment 1
19.91,99.9,38.7,155.06,Treatment 1
20.63,99.9,38.67,160.97,Treatment 1
19.41,99.9,38.72,162.55,Treatment 1
17.78,99.9,38.73,151.66,Treatment 1
15.41,99.9,38.67,163.74,Treatment 1
11.53,99.9,38.71,146.92,Treatment 1
10.67,99.9,38.75,147.91,Treatment 1
9.96,99.9,38.71,145.4,Treatment 1
9.44,99.9,38.72,160.08,Treatment 1
9.1,99.9,38.67,151.84,Treatment 1
8.62,99.9,38.73,151.89,Treatment 1
8.23,99.9,38.7,155.34,Treatment 1
7.9,99.9,38.66,150.64,Treatment 1
7.53,99.9,38.64,153.13,Treatment 1
6.95,99.9,38.73,152.37,Treatment 1
6.44,99.9,38.7,164.47,Treatment 1
5.78,99.9,38.71,152.72,Treatment 1
5.15,99.9,38.67,149.9,Treatment 1
5.14,99.9,38.72,161.74,Treatment 1
6.57,99.9,38.66,157.29,Treatment 1
9.91,99.9,38.69,155.98,Treatment 1
12.45,99.9,38.73,166.64,Treatment 1
15.95,99.9,38.66,161.25,Treatment 1
18.24,99.9,38.7,162.52,Treatment 1
19.23,99.9,38.76,153.07,Treatment 1
19.24,99.9,38.78,164.66,Treatment 1
19.13,99.9,38.68,161.33,Treatment 1
17.54,99.9,38.76,156.85,Treatment 1
15.96,99.9,38.8,164.02,Treatment 1
12.4,99.9,38.72,160.85,Treatment 1
10.32,99.9,38.75,157.48,Treatment 1
9.42,99.9,38.68,167.91,Treatment 1
9.03,99.9,38.71,161.27,Treatment 1
8.75,99.9,38.67,151.34,Treatment 1
8.45,99.9,38.71,156.68,Treatment 1
7.93,99.9,38.74,157.06,Treatment 1
7.57,99.9,38.8,157.64,Treatment 1
7.26,99.9,38.69,153.25,Treatment 1
6.94,99.9,38.74,158.65,Treatment 1
6.57,99.9,38.75,161.58,Treatment 1
6.29,99.9,38.76,157.36,Treatment 1
6.18,99.9,38.76,154.73,Treatment 1
6.2,99.9,38.69,157.44,Treatment 1
8.03,99.9,38.64,151.05,Treatment 1
12.71,99.9,38.67,156.55,Treatment 1
15.77,99.9,38.73,154.91,Treatment 1
17.71,99.9,38.66,155.26,Treatment 1
19.54,99.9,38.65,147.89,Treatment 1
21.76,99.9,38.68,155.03,Treatment 1
22.21,99.9,38.76,155.34,Treatment 1
21.49,99.9,38.73,164.22,Treatment 1
20.24,99.9,38.71,161.86,Treatment 1
18.26,99.9,38.7,173.07,Treatment 1
15.76,99.9,38.81,158.68,Treatment 1
13.46,99.9,38.72,153.27,Treatment 1
12.38,99.9,38.74,155.93,Treatment 1
11.66,99.9,38.73,168.37,Treatment 1
13.29,99.9,38.74,152.75,Treatment 1
13.82,99.9,38.75,164.71,Treatment 1
13.97,99.9,38.69,171.28,Treatment 1
14,99.9,38.69,156.08,Treatment 1
13.93,99.9,38.74,162.2,Treatment 1
13.8,99.9,38.7,159.91,Treatment 1
13.74,99.9,38.7,156.53,Treatment 1
13.56,99.9,38.78,165.65,Treatment 1
13.49,99.9,38.76,153.18,Treatment 1
13.5,99.9,38.71,146.4,Treatment 1
14.15,99.9,38.7,159.45,Treatment 1
15.22,99.9,38.64,160.55,Treatment 1
16.46,99.9,38.72,156.54,Treatment 1
18.04,99.9,38.72,152.37,Treatment 1
17.24,99.9,38.71,153.06,Treatment 1
18.47,99.9,38.75,157.41,Treatment 1
17.19,99.9,38.74,160.99,Treatment 1
17.32,99.9,38.69,154.3,Treatment 1
17.21,99.85,38.7,158.38,Treatment 1
16.17,99.64,38.7,163.96,Treatment 1
14.9,99.57,38.69,164.57,Treatment 1
14.34,99.9,38.74,163.14,Treatment 1
14.37,99.9,38.71,162.21,Treatment 1
13.47,99.9,38.74,170.7,Treatment 1
13.19,99.9,38.73,172.14,Treatment 1
11.79,99.9,38.77,157.52,Treatment 1
12.12,99.9,38.77,157.36,Treatment 1
13.39,99.9,38.72,162.38,Treatment 1
13.4,99.9,38.66,162.91,Treatment 1
13.42,99.9,38.71,158.47,Treatment 1
13.73,99.9,38.65,152.89,Treatment 1
13.99,99.9,38.68,158.71,Treatment 1
14.11,99.9,38.72,158.74,Treatment 1
14.03,99.9,38.74,167.14,Treatment 1
14.69,99.9,38.69,157.24,Treatment 1
15.6,99.9,38.68,162.32,Treatment 1
15.3,99.9,38.72,154.52,Treatment 1
24.61,62.38,38.85,135.74,Treatment 1
23.87,71.14,38.81,134.15,Treatment 1
23.6,70.25,38.81,122.61,Treatment 1
23.42,71.14,38.74,139.86,Treatment 1
23.66,72.63,38.67,125.27,Treatment 1
22.39,69.76,38.75,192.13,Treatment 1
18.73,67.65,38.68,151.62,Treatment 1
16.2,71.73,38.91,232.82,Treatment 1
15.37,76.73,38.75,174.37,Treatment 1
14.55,78.75,38.65,135.23,Treatment 1
14.18,80.67,38.6,142.58,Treatment 1
13.61,82.03,38.67,170.99,Treatment 1
12.52,80.95,38.85,231.64,Treatment 1
11.77,79.91,38.65,130.43,Treatment 1
11.38,78.15,38.61,131.24,Treatment 1
10.84,77.11,38.69,155.48,Treatment 1
10.29,78.21,38.69,135.1,Treatment 1
10.3,78.5,38.66,130.95,Treatment 1
9.35,76.36,38.65,138.67,Treatment 1
8.61,76.8,38.69,140.17,Treatment 1
8.05,77.66,38.72,143.9,Treatment 1
8.85,79.55,38.76,137.04,Treatment 1
11.7,81.27,38.73,132.24,Treatment 1
14.36,82.64,38.8,158.8,Treatment 1
17.49,77.55,38.77,134.77,Treatment 1
18.86,73.52,38.77,136.99,Treatment 1
21.04,75.21,38.71,132.45,Treatment 1
21.28,75.8,38.63,128.11,Treatment 1
20.39,77.17,38.61,131.77,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
12.11,81.32,38.6,132.07,Treatment 1
12.77,80.47,38.6,131.7,Treatment 1
12.87,80.42,38.62,133.37,Treatment 1
13.04,79.46,38.54,134.98,Treatment 1
13.1,78.32,38.65,156.96,Treatment 1
12.57,77.38,38.9,171.69,Treatment 1
13.05,82.43,38.97,169.98,Treatment 1
